Place of Residence,Age Group,Gender,Tipo de dificuldade,Não tem nenhuma dificuldade,Tem alguma dificuldade,Tem muita dificuldade,Não consegue efetuar a ação,freguesia_code,municipio,region
Amadora,70 - 74 anos,M,Memória ou concentração,3281,1843,238,43,1115,Amadora,Grande Lisboa
Amadora,70 - 74 anos,M,Compreender os outros ou fazer-se compreender,5033,321,55,17,1115,Amadora,Grande Lisboa
Amadora,75 ou mais anos,H,Ver,3463,2937,591,51,1115,Amadora,Grande Lisboa
Amadora,75 ou mais anos,H,Ouvir,3490,2610,889,37,1115,Amadora,Grande Lisboa
Amadora,75 ou mais anos,H,Andar ou subir degraus,3009,2673,1173,213,1115,Amadora,Grande Lisboa
Amadora,75 ou mais anos,H,Memória ou concentração,3408,2888,573,173,1115,Amadora,Grande Lisboa
Amadora,75 ou mais anos,H,Compreender os outros ou fazer-se compreender,5923,837,221,82,1115,Amadora,Grande Lisboa
Amadora,75 ou mais anos,M,Ver,4083,5320,1514,88,1115,Amadora,Grande Lisboa
Amadora,75 ou mais anos,M,Ouvir,5601,3853,1453,74,1115,Amadora,Grande Lisboa
Amadora,75 ou mais anos,M,Andar ou subir degraus,2513,4784,3192,505,1115,Amadora,Grande Lisboa
Amadora,75 ou mais anos,M,Memória ou concentração,4426,4792,1354,398,1115,Amadora,Grande Lisboa
Amadora,75 ou mais anos,M,Compreender os outros ou fazer-se compreender,8792,1649,392,164,1115,Amadora,Grande Lisboa
Cascais,Total,H,Ver,62283,15928,1500,204,1105,Cascais,Grande Lisboa
Cascais,Total,H,Ouvir,69731,8166,1556,205,1105,Cascais,Grande Lisboa
Cascais,Total,H,Andar ou subir degraus,68904,8357,2180,564,1105,Cascais,Grande Lisboa
Cascais,Total,H,Memória ou concentração,66387,11650,1365,488,1105,Cascais,Grande Lisboa
Cascais,Total,H,Compreender os outros ou fazer-se compreender,76050,3033,623,260,1105,Cascais,Grande Lisboa
Cascais,Total,M,Ver,66698,25100,3235,228,1105,Cascais,Grande Lisboa
Cascais,Total,M,Ouvir,82483,9913,2269,229,1105,Cascais,Grande Lisboa
Cascais,Total,M,Andar ou subir degraus,74593,14659,5079,1058,1105,Cascais,Grande Lisboa
Cascais,Total,M,Memória ou concentração,73184,18505,2558,952,1105,Cascais,Grande Lisboa
Cascais,Total,M,Compreender os outros ou fazer-se compreender,89950,4078,866,464,1105,Cascais,Grande Lisboa
Cascais,15 - 19 anos,H,Ver,5577,393,26,6,1105,Cascais,Grande Lisboa
Cascais,15 - 19 anos,H,Ouvir,5922,58,3,5,1105,Cascais,Grande Lisboa
