
Quadro extraído em 25 de Março de 2025 (11:07:34)
http://www.ine.pt



Local de residência à data dos Censos [2021] (NUTS - 2024 - Município);Grupo etário;Sexo;Período de referência dos dados;Nível de escolaridade mais elevado completo;Tipo de dificuldade;Dificuldades (N.º) da população residente com 15 e mais anos de idade com dificuldades por Local de residência à data dos Censos [2021] (NUTS - 2024 - Município), Sexo, Grupo etário, Nível de escolaridade mais elevado completo, Tipo de dificuldade e Grau de dificuldade -  Decenal;;;;
;;;;;;Grau de dificuldade;;;;
;;;;;;Não tem nenhuma dificuldade;Tem alguma dificuldade;Tem muita dificuldade;Não consegue efetuar a ação;
;;;;;;N.º ;N.º ;N.º ;N.º ;
;30 - 34 anos;H;2021;Total;Ver;16718;1818;121;35;
;;;;;Ouvir;18089;484;29;31;
;;;;;Andar ou subir degraus;18230;345;60;38;
;;;;;Memória ou concentração;16889;1592;117;39;
;;;;;Compreender os outros ou fazer-se compreender;17949;603;75;22;
;;M;2021;Total;Ver;15400;2727;160;23;
;;;;;Ouvir;17802;410;30;30;
;;;;;Andar ou subir degraus;17747;480;51;37;
;;;;;Memória ou concentração;15967;2198;102;41;
;;;;;Compreender os outros ou fazer-se compreender;17741;498;54;23;
;35 - 39 anos;H;2021;Total;Ver;16189;1736;127;54;
;;;;;Ouvir;17436;521;45;46;
;;;;;Andar ou subir degraus;17538;423;90;36;
;;;;;Memória ou concentração;16347;1571;114;49;
;;;;;Compreender os outros ou fazer-se compreender;17437;535;68;25;
;;M;2021;Total;Ver;15233;2604;161;36;
;;;;;Ouvir;17400;512;42;37;
;;;;;Andar ou subir degraus;17249;674;66;37;
;;;;;Memória ou concentração;15595;2235;133;41;
;;;;;Compreender os outros ou fazer-se compreender;17518;420;49;22;
;40 - 44 anos;H;2021;Total;Ver;16223;2472;156;41;
;;;;;Ouvir;17995;755;68;30;
;;;;;Andar ou subir degraus;18042;684;136;34;
;;;;;Memória ou concentração;16974;1722;139;34;
;;;;;Compreender os outros ou fazer-se compreender;18249;494;89;33;
;;M;2021;Total;Ver;15825;3702;237;28;
;;;;;Ouvir;18854;777;68;40;
;;;;;Andar ou subir degraus;18501;1105;152;51;
;;;;;Memória ou concentração;16875;2688;182;41;
;;;;;Compreender os outros ou fazer-se compreender;19271;433;62;26;
;45 - 49 anos;H;2021;Total;Ver;13853;4093;233;42;
;;;;;Ouvir;17023;993;93;46;
;;;;;Andar ou subir degraus;17092;915;171;48;
;;;;;Memória ou concentração;16024;1987;150;57;
;;;;;Compreender os outros ou fazer-se compreender;17593;475;102;35;
;;M;2021;Total;Ver;13686;5586;392;39;
;;;;;Ouvir;18513;1005;97;41;
;;;;;Andar ou subir degraus;17917;1541;237;44;
;;;;;Memória ou concentração;16439;3001;220;57;
;;;;;Compreender os outros ou fazer-se compreender;19140;483;76;39;
;50 - 54 anos;H;2021;Total;Ver;10878;4507;311;48;
;;;;;Ouvir;14332;1200;122;38;
;;;;;Andar ou subir degraus;14145;1270;262;68;
;;;;;Memória ou concentração;13435;2045;177;67;
;;;;;Compreender os outros ou fazer-se compreender;15088;511;95;58;
;;M;2021;Total;Ver;11732;5765;472;42;
;;;;;Ouvir;16577;1185;138;44;
;;;;;Andar ou subir degraus;15370;2166;412;70;
;;;;;Memória ou concentração;14373;3330;242;62;
;;;;;Compreender os outros ou fazer-se compreender;17379;524;72;36;
;55 - 59 anos;H;2021;Total;Ver;10168;4218;375;48;
;;;;;Ouvir;13015;1523;176;35;
;;;;;Andar ou subir degraus;12606;1757;399;64;
;;;;;Memória ou concentração;12310;2213;228;51;
;;;;;Compreender os outros ou fazer-se compreender;14114;554;109;30;
;;M;2021;Total;Ver;10957;5789;578;29;
;;;;;Ouvir;15463;1598;186;37;
;;;;;Andar ou subir degraus;13588;3052;671;64;
;;;;;Memória ou concentração;13345;3573;363;46;
;;;;;Compreender os outros ou fazer-se compreender;16666;569;83;30;
;60 - 64 anos;H;2021;Total;Ver;8991;3739;378;57;
;;;;;Ouvir;11075;1753;239;36;
;;;;;Andar ou subir degraus;10375;2183;528;87;
;;;;;Memória ou concentração;10499;2367;217;61;
;;;;;Compreender os outros ou fazer-se compreender;12498;494;122;36;
;;M;2021;Total;Ver;10631;5428;699;48;
;;;;;Ouvir;14455;2011;235;43;
;;;;;Andar ou subir degraus;11858;3895;968;105;
;;;;;Memória ou concentração;12477;3833;389;79;
;;;;;Compreender os outros ou fazer-se compreender;16030;627;88;44;
;65 - 69 anos;H;2021;Total;Ver;8354;3514;404;41;
;;;;;Ouvir;9731;2171;312;34;
;;;;;Andar ou subir degraus;9041;2621;568;108;
;;;;;Memória ou concentração;9391;2655;211;63;
;;;;;Compreender os outros ou fazer-se compreender;11679;491;106;44;
;;M;2021;Total;Ver;10011;5314;749;41;
;;;;;Ouvir;13236;2454;318;42;
;;;;;Andar ou subir degraus;10229;4498;1302;118;
;;;;;Memória ou concentração;11434;4191;408;66;
;;;;;Compreender os outros ou fazer-se compreender;15361;630;106;41;
;70 - 74 anos;H;2021;Total;Ver;7713;3496;445;63;
;;;;;Ouvir;8303;2910;430;32;
;;;;;Andar ou subir degraus;7782;2976;826;158;
;;;;;Memória ou concentração;8128;3161;339;76;
;;;;;Compreender os outros ou fazer-se compreender;10900;657;117;56;
;;M;2021;Total;Ver;9808;5742;893;60;
;;;;;Ouvir;12628;3247;519;49;
;;;;;Andar ou subir degraus;8933;5626;1777;163;
;;;;;Memória ou concentração;10587;5123;611;130;
;;;;;Compreender os outros ou fazer-se compreender;15521;790;142;76;
;75 ou mais anos;H;2021;Total;Ver;12139;9037;1942;196;
;;;;;Ouvir;11995;8408;2695;131;
;;;;;Andar ou subir degraus;9974;8925;3646;785;
;;;;;Memória ou concentração;11792;9092;1869;556;
;;;;;Compreender os outros ou fazer-se compreender;19820;2574;697;269;
;;M;2021;Total;Ver;17219;19546;5770;396;
;;;;;Ouvir;21592;15057;5860;264;
;;;;;Andar ou subir degraus;10867;17560;12001;2610;
;;;;;Memória ou concentração;17906;17949;5130;1901;
;;;;;Compreender os outros ou fazer-se compreender;34314;5965;1783;894;
1107: Loures;Total;H;2021;Total;Ver;57418;17500;1941;215;
;;;;;Ouvir;65979;8768;1861;187;
;;;;;Andar ou subir degraus;64404;9519;2603;598;
;;;;;Memória ou concentração;62716;12332;1554;443;
;;;;;Compreender os outros ou fazer-se compreender;72849;3379;681;239;
;;M;2021;Total;Ver;57865;27164;3833;210;
;;;;;Ouvir;75486;10432;2546;243;
;;;;;Andar ou subir degraus;65927;16156;5997;1074;
;;;;;Memória ou concentração;66024;19255;2907;873;
;;;;;Compreender os outros ou fazer-se compreender;83444;4270;924;464;
;15 - 19 anos;H;2021;Total;Ver;4805;462;45;8;
;;;;;Ouvir;5231;62;8;7;
;;;;;Andar ou subir degraus;5243;51;12;12;
;;;;;Memória ou concentração;4914;331;47;21;
;;;;;Compreender os outros ou fazer-se compreender;5124;146;27;16;
;;M;2021;Total;Ver;4201;720;61;3;
;;;;;Ouvir;4872;87;5;3;
;;;;;Andar ou subir degraus;4889;82;11;6;
;;;;;Memória ou concentração;4582;358;34;5;
;;;;;Compreender os outros ou fazer-se compreender;4875;82;13;7;
;20 - 24 anos;H;2021;Total;Ver;4845;471;43;11;
;;;;;Ouvir;5281;64;7;10;
;;;;;Andar ou subir degraus;5279;59;18;14;
;;;;;Memória ou concentração;4991;322;33;17;
;;;;;Compreender os outros ou fazer-se compreender;5225;119;16;11;
;;M;2021;Total;Ver;4397;860;68;3;
;;;;;Ouvir;5197;89;16;5;
;;;;;Andar ou subir degraus;5193;115;12;9;
;;;;;Memória ou concentração;4776;492;42;9;
;;;;;Compreender os outros ou fazer-se compreender;5207;85;13;12;
;25 - 29 anos;H;2021;Total;Ver;4920;509;42;7;
;;;;;Ouvir;5343;93;17;5;
;;;;;Andar ou subir degraus;5345;96;19;15;
;;;;;Memória ou concentração;5054;367;33;17;
;;;;;Compreender os outros ou fazer-se compreender;5285;145;25;13;
;;M;2021;Total;Ver;4749;885;69;5;
;;;;;Ouvir;5537;133;13;5;
;;;;;Andar ou subir degraus;5541;140;21;10;
;;;;;Memória ou concentração;5061;589;51;7;
;;;;;Compreender os outros ou fazer-se compreender;5581;110;18;5;
;30 - 34 anos;H;2021;Total;Ver;5127;534;47;6;
;;;;;Ouvir;5538;149;14;8;
;;;;;Andar ou subir degraus;5552;127;22;14;
;;;;;Memória ou concentração;5193;464;39;13;
;;;;;Compreender os outros ou fazer-se compreender;5530;160;15;6;
;;M;2021;Total;Ver;5003;1025;62;12;
;;;;;Ouvir;5860;192;12;15;
