
Quadro extraído em 23 de Fevereiro de 2025 (13:27:18)
http://www.ine.pt



Local de residência à data dos Censos [2021] (NUTS - 2024);Grupo etário;Sexo;Período de referência dos dados;População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2024), Sexo, Grupo etário e Naturalidade (País) -  Decenal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Naturalidade (País);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Total;Portuguesa;Estrangeira;Europa;Alemanha;Áustria;Bélgica;Bulgária;Espanha;França;Irlanda;Itália;Luxemburgo;Países Baixos;Polónia;Roménia;Suécia;Federação da Rússia;Suíça;Ucrânia;África;África do Sul;Angola;Cabo Verde;Guiné-Bissau;Moçambique;São Tomé e Príncipe;América;Canadá;Estados Unidos da América;Argentina;Brasil;Venezuela;Ásia;Bangladeche;China;Índia;Nepal;Paquistão;Oceânia;
;;;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
;5 - 9 anos;H;2021;891;793;98;21;0;0;0;0;1;5;0;0;1;1;0;0;1;0;0;1;44;0;11;17;7;0;4;26;0;0;0;25;1;7;1;0;3;2;0;0;
;;M;2021;861;763;98;11;2;0;0;0;1;2;0;0;0;1;0;0;0;0;1;1;36;0;9;16;4;0;4;41;0;1;1;37;2;9;3;1;2;1;1;1;
;10 - 14 anos;H;2021;860;722;138;14;1;0;0;0;2;4;1;0;0;1;0;0;0;2;1;1;84;0;16;42;11;1;9;31;1;1;0;29;0;9;4;1;0;3;0;0;
;;M;2021;830;677;153;14;0;0;0;0;0;5;0;1;1;0;0;0;0;0;0;1;98;0;17;58;10;1;9;34;0;2;2;29;1;7;2;3;0;2;0;0;
;15 - 19 anos;H;2021;850;654;196;17;0;0;1;0;1;3;0;1;0;1;0;2;0;0;1;2;130;0;17;67;27;1;9;38;0;0;0;38;0;11;3;1;3;0;3;0;
;;M;2021;833;643;190;21;1;0;0;0;1;2;0;2;0;0;0;0;0;1;0;3;133;0;17;77;23;1;13;33;0;0;0;33;0;3;0;2;0;1;0;0;
;20 - 24 anos;H;2021;1023;666;357;28;2;0;1;0;1;3;0;0;0;1;0;2;0;0;2;8;235;1;22;113;58;2;21;74;0;0;0;70;4;20;6;3;2;3;5;0;
;;M;2021;1017;668;349;22;0;0;0;0;2;5;0;0;1;1;0;0;0;2;3;2;233;0;20;151;29;4;23;84;0;0;0;83;1;10;3;2;1;3;0;0;
;25 - 29 anos;H;2021;1212;739;473;43;2;0;1;1;2;8;0;1;0;0;0;1;0;1;2;10;259;1;29;156;28;0;28;132;0;2;0;120;7;39;11;2;9;7;9;0;
;;M;2021;1308;801;507;40;1;1;2;0;4;7;0;2;0;0;1;3;0;2;4;5;279;1;28;189;32;1;19;157;1;0;0;144;8;31;9;1;7;12;0;0;
;30 - 34 anos;H;2021;1320;803;517;32;3;1;1;1;1;2;0;1;0;1;0;5;0;1;1;10;240;1;20;135;36;2;24;157;0;1;0;145;10;88;33;4;22;16;8;0;
;;M;2021;1330;799;531;48;2;0;2;0;4;5;0;5;1;0;1;4;0;2;0;11;314;0;24;222;25;3;28;136;0;1;0;125;7;33;11;2;7;8;3;0;
;35 - 39 anos;H;2021;1272;864;408;30;2;0;0;0;3;7;0;1;0;0;0;4;0;1;2;4;172;2;32;83;24;4;10;148;0;2;1;139;4;58;26;4;6;13;8;0;
;;M;2021;1412;890;522;43;3;1;0;1;2;7;0;2;1;2;0;4;0;2;1;6;269;1;32;161;38;3;22;185;1;0;0;177;6;25;5;4;1;11;0;0;
;40 - 44 anos;H;2021;1256;930;326;46;3;0;0;4;5;9;0;1;0;0;0;5;0;1;0;11;162;2;35;69;21;3;16;83;2;2;0;74;5;35;9;10;6;6;0;0;
;;M;2021;1460;994;466;62;13;0;2;0;1;11;0;2;2;0;0;6;0;6;0;13;257;0;47;134;28;10;29;131;2;2;0;123;3;16;1;7;1;1;1;0;
;45 - 49 anos;H;2021;1235;864;371;51;4;0;2;0;2;14;0;0;0;2;0;7;0;3;0;7;254;4;82;75;32;29;19;49;3;1;1;43;1;17;5;9;0;1;1;0;
;;M;2021;1375;922;453;67;6;1;0;2;0;20;0;0;0;0;0;10;1;2;1;18;288;3;71;140;18;23;21;81;1;0;1;77;2;17;0;13;0;1;1;0;
;50 - 54 anos;H;2021;1002;677;325;47;7;0;1;0;0;12;1;0;0;1;0;7;0;1;1;13;219;1;62;83;22;22;13;43;1;0;0;39;2;16;0;5;4;0;2;0;
;;M;2021;1207;805;402;31;2;0;0;2;0;8;0;0;0;0;0;5;1;1;0;7;289;4;65;140;13;29;31;73;0;1;0;69;2;9;0;4;1;1;0;0;
;55 - 59 anos;H;2021;915;655;260;15;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;9;214;0;45;93;30;22;15;24;0;0;0;20;3;7;1;3;1;0;0;0;
;;M;2021;1212;835;377;19;1;0;0;0;2;3;0;0;1;0;0;0;0;1;0;9;294;1;58;149;17;26;28;58;0;0;0;53;4;6;0;1;3;0;0;0;
;60 - 64 anos;H;2021;879;685;194;8;0;0;0;0;0;1;0;0;0;0;1;2;0;0;1;1;172;1;41;81;19;13;6;11;0;1;0;10;0;3;0;0;3;0;0;0;
;;M;2021;1245;944;301;14;0;0;0;1;1;2;0;0;0;0;0;1;0;2;0;5;236;0;60;125;9;19;20;46;0;0;0;42;3;5;0;1;2;1;0;0;
;65 - 69 anos;H;2021;928;738;190;8;1;0;0;0;1;0;0;1;0;2;1;0;0;0;0;2;172;1;20;106;21;12;8;4;0;0;0;3;0;6;0;1;3;0;0;0;
;;M;2021;1258;1041;217;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;186;0;38;111;5;18;11;20;0;1;2;16;1;4;0;1;1;0;0;0;
;70 - 74 anos;H;2021;1008;900;108;6;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;91;0;16;46;11;9;4;5;0;0;1;4;0;6;1;1;2;0;0;0;
;;M;2021;1345;1222;123;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;106;0;34;49;4;8;10;6;0;0;0;6;0;8;1;2;2;0;0;0;
;75 - 79 anos;H;2021;790;731;59;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;53;0;8;32;3;5;4;2;0;0;0;1;0;2;0;0;2;0;0;0;
;;M;2021;1113;1031;82;9;1;0;2;0;4;1;0;0;0;0;0;0;0;0;0;1;69;0;21;32;2;11;3;1;0;0;0;1;0;3;0;0;2;0;0;0;
;80 - 84 anos;H;2021;525;492;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;10;13;2;3;3;0;0;0;0;0;0;2;0;0;2;0;0;0;
;;M;2021;862;789;73;7;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;1;62;1;10;39;1;6;4;1;0;0;0;1;0;3;0;0;2;0;0;0;
;85 e mais anos;H;2021;388;359;29;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;22;0;6;15;0;0;1;0;0;0;0;0;0;5;0;0;5;0;0;0;
;;M;2021;771;705;66;4;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;52;1;17;23;1;7;3;4;0;1;0;3;0;6;0;1;3;0;0;0;
111512: Alfragide;Total;H;2021;7970;7055;915;117;10;0;4;0;11;23;0;6;1;1;1;14;1;4;2;22;553;10;218;120;44;114;24;199;4;7;2;173;9;44;3;14;14;0;1;2;
;;M;2021;8867;7663;1204;166;14;0;5;2;16;41;2;5;1;2;3;19;3;9;1;25;719;11;244;172;48;172;43;255;4;7;3;223;12;60;1;22;17;0;1;4;
;0 - 4 anos;H;2021;377;366;11;5;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;5;0;2;0;3;0;0;0;0;0;0;0;0;
;;M;2021;339;330;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;1;1;0;2;1;1;2;0;0;0;2;0;0;0;0;0;0;0;0;
;5 - 9 anos;H;2021;434;412;22;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;0;3;0;2;2;0;9;0;0;0;9;0;2;1;1;0;0;0;0;
;;M;2021;405;383;22;3;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;6;0;4;0;1;0;0;12;0;1;0;11;0;1;0;0;0;0;0;0;
;10 - 14 anos;H;2021;475;458;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;2;4;0;0;0;7;1;0;0;5;0;2;0;0;0;0;0;0;
;;M;2021;471;448;23;4;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;8;0;1;1;0;3;0;10;0;1;0;8;1;1;0;1;0;0;0;0;
;15 - 19 anos;H;2021;569;538;31;4;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;11;0;1;2;5;2;0;13;0;0;0;13;0;3;1;1;1;0;0;0;
;;M;2021;530;492;38;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;21;0;5;7;0;3;1;10;0;1;0;8;1;2;0;0;0;0;0;1;
;20 - 24 anos;H;2021;533;493;40;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;19;1;3;4;8;1;1;11;0;1;0;9;1;3;0;1;1;0;0;0;
;;M;2021;529;495;34;4;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;22;0;6;4;7;1;4;6;0;0;0;6;0;2;0;1;0;0;1;0;
;25 - 29 anos;H;2021;447;388;59;13;1;0;1;0;2;0;0;2;0;0;0;2;0;2;1;0;24;1;6;6;3;3;3;19;1;0;0;16;2;3;0;0;2;0;1;0;
;;M;2021;465;412;53;4;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;22;1;9;3;7;0;0;22;1;0;0;20;0;5;1;3;1;0;0;0;
;30 - 34 anos;H;2021;449;392;57;3;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;22;1;7;5;5;2;1;26;1;1;0;23;1;5;1;2;2;0;0;1;
;;M;2021;431;359;72;15;1;0;1;0;1;2;0;2;0;0;0;0;0;1;0;3;16;0;4;7;2;0;2;33;0;3;1;28;0;7;0;5;0;0;0;1;
;35 - 39 anos;H;2021;488;426;62;5;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;25;0;7;8;2;2;1;28;0;1;0;27;0;4;0;0;2;0;0;0;
;;M;2021;507;434;73;13;0;0;1;2;1;1;0;0;0;0;0;1;1;3;0;2;27;0;5;11;5;3;2;30;0;0;0;28;0;3;0;1;1;0;0;0;
;40 - 44 anos;H;2021;550;479;71;15;1;0;0;0;1;5;0;0;0;0;0;1;0;0;0;4;26;3;12;5;0;3;1;27;0;0;0;27;0;3;0;2;0;0;0;0;
;;M;2021;643;540;103;29;3;0;0;0;3;8;0;1;0;0;1;5;0;1;0;5;34;0;12;9;2;8;3;36;0;0;0;34;2;4;0;0;1;0;0;0;
;45 - 49 anos;H;2021;653;543;110;16;1;0;2;0;2;2;0;0;1;0;0;3;0;0;0;4;77;3;40;5;5;19;4;15;0;1;1;11;1;2;0;1;0;0;0;0;
;;M;2021;726;562;164;31;3;0;1;0;2;13;0;1;1;0;1;4;0;0;0;2;96;3;37;16;2;32;2;29;2;0;1;24;1;8;0;3;1;0;0;0;
;50 - 54 anos;H;2021;589;474;115;17;5;0;1;0;0;7;0;0;0;0;0;1;0;0;0;2;79;1;42;9;3;18;5;14;1;0;1;10;1;5;0;4;0;0;0;0;
;;M;2021;728;570;158;22;4;0;1;0;3;3;0;0;0;1;0;3;0;1;0;5;106;4;46;12;5;28;8;26;0;1;0;22;2;4;0;3;1;0;0;0;
;55 - 59 anos;H;2021;588;498;90;9;0;0;0;0;1;1;0;1;0;0;1;3;0;0;0;1;66;0;27;8;5;22;3;10;0;0;0;8;1;5;0;1;1;0;0;0;
;;M;2021;684;552;132;15;1;0;0;0;2;4;0;0;0;0;1;3;0;1;0;2;93;1;31;14;7;29;9;20;1;0;0;17;2;4;0;3;1;0;0;0;
;60 - 64 anos;H;2021;508;421;87;10;0;0;0;0;1;1;0;2;0;0;0;0;0;1;0;4;68;0;34;15;1;14;2;7;0;0;0;6;1;2;0;0;2;0;0;0;
;;M;2021;620;528;92;5;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;3;75;0;24;21;5;15;6;7;0;0;0;6;1;4;0;0;2;0;0;1;
;65 - 69 anos;H;2021;421;360;61;6;1;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1;51;0;18;19;2;10;1;3;0;0;0;2;1;1;0;1;0;0;0;0;
;;M;2021;500;428;72;5;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;59;0;19;26;0;11;1;4;0;0;0;2;2;4;0;1;1;0;0;0;
;70 - 74 anos;H;2021;354;314;40;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;36;0;9;14;1;10;2;0;0;0;0;0;0;2;0;0;1;0;0;0;
;;M;2021;474;416;58;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;49;0;15;15;1;15;2;2;0;0;0;2;0;4;0;1;3;0;0;0;
;75 - 79 anos;H;2021;244;225;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;5;5;2;3;0;2;0;0;0;2;0;1;0;0;1;0;0;1;
;;M;2021;313;273;40;3;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;33;1;12;10;2;7;1;3;0;0;1;2;0;1;0;0;0;0;0;0;
;80 - 84 anos;H;2021;160;147;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;1;7;0;2;0;2;0;1;0;1;0;0;0;0;0;0;0;0;
;;M;2021;236;203;33;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;25;0;8;7;0;9;1;1;0;0;0;1;0;4;0;0;4;0;0;1;
;85 e mais anos;H;2021;131;121;10;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;6;0;1;4;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;
;;M;2021;266;238;28;3;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;21;0;5;9;0;7;0;2;0;0;0;2;0;2;0;0;1;0;0;0;
111514: Encosta do Sol;Total;H;2021;12657;9925;2732;275;20;0;9;4;20;48;0;11;0;5;0;18;0;9;17;69;1484;15;456;433;218;158;133;598;2;11;2;552;14;375;27;23;167;23;74;0;
;;M;2021;14436;11311;3125;262;8;0;2;4;23;39;0;5;3;3;4;14;1;22;15;76;1869;11;652;620;144;164;225;762;2;9;2;718;18;231;11;27;97;16;28;1;
;0 - 4 anos;H;2021;707;673;34;10;0;0;2;1;2;2;0;0;0;0;0;0;0;0;1;0;15;0;9;2;1;0;3;9;0;0;0;8;1;0;0;0;0;0;0;0;
;;M;2021;631;604;27;5;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;4;0;3;1;0;0;0;14;0;0;0;14;0;4;0;0;2;0;0;0;
;5 - 9 anos;H;2021;615;521;94;17;0;0;2;0;1;4;0;0;0;2;0;0;0;0;2;2;38;0;15;6;7;3;1;26;0;5;0;20;1;13;1;2;4;0;3;0;
;;M;2021;630;552;78;9;0;0;1;0;2;1;0;0;0;0;0;0;0;0;1;0;37;0;22;5;4;0;2;23;0;0;0;23;0;9;0;2;7;0;0;0;
