
Quadro extraído em 26 de Fevereiro de 2025 (23:50:58)
http://www.ine.pt



Local de residência à data dos Censos [2021] (NUTS - 2024);Grupo etário;Sexo;Período de referência dos dados;População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2024), Sexo, Grupo etário e Nível de escolaridade mais elevado completo -  Decenal;;;;;;;;;;;;;;
;;;;Nível de escolaridade mais elevado completo;;;;;;;;;;;;;;
;;;;Total;Nenhum;Ensino básico;1.º ciclo;2.º ciclo;3.º ciclo;Ensino secundário;Ensino pós-secundário;Ensino superior;Curso técnico superior profissional;Bacharelato;Licenciatura;Mestrado;Doutoramento;
;;;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
110608: Benfica;Total;H;2021;15808;1679;5629;1993;1258;2378;3305;168;5027;33;332;3297;1152;213;
;;M;2021;19554;2057;6989;3292;1231;2466;3464;114;6930;11;541;4476;1642;260;
;Menos de 15 anos;H;2021;2115;1313;802;341;413;48;0;0;0;0;0;0;0;0;
;;M;2021;1986;1287;699;310;348;41;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;750;10;517;8;79;430;222;0;1;1;0;0;0;0;
;;M;2021;691;4;423;12;64;347;264;0;0;0;0;0;0;0;
;20 - 24 anos;H;2021;829;8;191;12;46;133;406;7;217;5;0;173;39;0;
;;M;2021;923;15;122;12;22;88;415;10;361;2;0;297;62;0;
;25 - 29 anos;H;2021;1021;20;132;12;30;90;294;27;548;9;0;302;233;4;
;;M;2021;1201;15;125;10;30;85;231;15;815;2;0;383;426;4;
;30 - 34 anos;H;2021;1130;25;205;17;52;136;265;24;611;11;4;308;275;13;
;;M;2021;1135;15;143;14;41;88;203;14;760;1;1;368;371;19;
;35 - 39 anos;H;2021;1076;15;184;30;45;109;244;30;603;5;27;347;203;21;
;;M;2021;1044;23;148;22;29;97;185;16;672;3;21;398;225;25;
;40 - 44 anos;H;2021;1106;23;190;32;40;118;289;30;574;2;26;416;105;25;
;;M;2021;1283;28;177;41;44;92;245;21;812;3;31;576;166;36;
;45 - 49 anos;H;2021;1132;27;261;51;74;136;304;31;509;0;30;378;80;21;
;;M;2021;1313;32;202;65;51;86;303;23;753;0;44;561;119;29;
;50 - 54 anos;H;2021;1002;28;309;65;95;149;263;15;387;0;42;274;54;17;
;;M;2021;1161;33;278;82;94;102;266;13;571;0;61;384;92;34;
;55 - 59 anos;H;2021;916;30;318;110;70;138;230;4;334;0;24;233;46;31;
;;M;2021;1098;38;339;131;57;151;299;2;420;0;38;300;62;20;
;60 - 64 anos;H;2021;787;34;304;121;72;111;199;0;250;0;25;178;35;12;
;;M;2021;1188;48;419;200;74;145;288;0;433;0;46;306;49;32;
;65 - 69 anos;H;2021;803;26;334;187;45;102;167;0;276;0;37;191;36;12;
;;M;2021;1201;61;524;281;65;178;226;0;390;0;62;283;25;20;
;70 - 74 anos;H;2021;916;27;471;229;47;195;139;0;279;0;38;196;20;25;
;;M;2021;1479;59;832;399;91;342;228;0;360;0;66;257;22;15;
;75 ou mais anos;H;2021;2225;93;1411;778;150;483;283;0;438;0;79;301;26;32;
;;M;2021;3851;399;2558;1713;221;624;311;0;583;0;171;363;23;26;
110659: Campo de Ourique;Total;H;2021;9877;1277;2944;1031;700;1213;1962;93;3601;24;243;2114;1022;198;
;;M;2021;12263;1444;3923;1706;725;1492;2064;70;4762;4;373;2871;1310;204;
;Menos de 15 anos;H;2021;1666;1093;573;241;297;35;0;0;0;0;0;0;0;0;
;;M;2021;1490;976;514;213;257;44;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;499;1;344;5;53;286;153;0;1;1;0;0;0;0;
;;M;2021;538;2;353;0;45;308;183;0;0;0;0;0;0;0;
;20 - 24 anos;H;2021;510;3;82;3;12;67;284;2;139;5;0;112;22;0;
;;M;2021;508;2;36;0;6;30;271;4;195;2;0;144;49;0;
;25 - 29 anos;H;2021;627;9;68;2;13;53;162;18;370;6;0;167;193;4;
;;M;2021;718;13;63;2;11;50;130;7;505;0;0;244;260;1;
;30 - 34 anos;H;2021;739;12;88;6;19;63;180;20;439;5;3;200;223;8;
;;M;2021;825;19;66;5;16;45;134;13;593;0;5;270;308;10;
;35 - 39 anos;H;2021;736;16;100;11;21;68;159;19;442;6;26;215;174;21;
;;M;2021;852;20;105;8;28;69;141;7;579;2;31;313;216;17;
;40 - 44 anos;H;2021;819;19;134;17;32;85;164;15;487;1;29;314;123;20;
;;M;2021;918;16;116;14;25;77;159;15;612;0;27;407;143;35;
;45 - 49 anos;H;2021;700;9;128;27;37;64;174;12;377;0;27;225;99;26;
;;M;2021;819;13;118;20;28;70;144;16;528;0;32;369;99;28;
;50 - 54 anos;H;2021;569;8;137;26;41;70;146;6;272;0;30;168;47;27;
;;M;2021;708;14;135;41;36;58;125;6;428;0;40;274;85;29;
;55 - 59 anos;H;2021;591;18;155;54;32;69;141;1;276;0;35;169;50;22;
;;M;2021;723;20;190;67;45;78;173;2;338;0;40;221;57;20;
;60 - 64 anos;H;2021;481;16;162;69;34;59;105;0;198;0;22;120;37;19;
;;M;2021;674;31;230;112;40;78;156;0;257;0;45;149;41;22;
;65 - 69 anos;H;2021;468;12;182;100;27;55;93;0;181;0;19;131;15;16;
;;M;2021;698;34;297;181;35;81;149;0;218;0;33;157;17;11;
;70 - 74 anos;H;2021;495;16;245;140;28;77;76;0;158;0;19;108;15;16;
;;M;2021;721;38;402;214;43;145;94;0;187;0;48;110;17;12;
;75 ou mais anos;H;2021;977;45;546;330;54;162;125;0;261;0;33;185;24;19;
;;M;2021;2071;246;1298;829;110;359;205;0;322;0;72;213;18;19;
110610: Campolide;Total;H;2021;6989;787;2746;1001;700;1045;1372;83;2001;18;117;1164;609;93;
;;M;2021;7798;916;2993;1435;550;1008;1372;40;2477;4;152;1469;765;87;
;Menos de 15 anos;H;2021;884;580;304;125;161;18;0;0;0;0;0;0;0;0;
;;M;2021;818;519;299;130;146;23;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;310;0;197;1;34;162;111;0;2;2;0;0;0;0;
;;M;2021;347;1;209;1;28;180;137;0;0;0;0;0;0;0;
;20 - 24 anos;H;2021;396;4;103;3;31;69;188;7;94;3;0;71;20;0;
;;M;2021;360;5;57;1;14;42;180;6;112;1;0;86;25;0;
;25 - 29 anos;H;2021;602;8;130;9;38;83;156;20;288;4;0;151;130;3;
;;M;2021;554;10;65;4;13;48;116;4;359;1;0;170;186;2;
;30 - 34 anos;H;2021;603;13;122;18;41;63;134;20;314;5;3;134;159;13;
;;M;2021;553;6;77;3;19;55;102;7;361;2;1;146;204;8;
;35 - 39 anos;H;2021;534;14;160;24;45;91;108;11;241;4;15;121;94;7;
;;M;2021;481;6;87;9;20;58;77;4;307;0;18;178;103;8;
;40 - 44 anos;H;2021;489;13;147;18;57;72;113;8;208;0;11;136;54;7;
;;M;2021;467;21;81;15;25;41;112;6;247;0;11;163;62;11;
;45 - 49 anos;H;2021;511;9;176;28;52;96;122;10;194;0;17;118;46;13;
;;M;2021;515;18;118;25;29;64;99;8;272;0;13;186;60;13;
;50 - 54 anos;H;2021;475;15;196;64;58;74;118;5;141;0;18;83;34;6;
;;M;2021;495;12;174;53;53;68;115;3;191;0;15;140;28;8;
;55 - 59 anos;H;2021;422;14;192;62;53;77;96;2;118;0;9;79;19;11;
;;M;2021;508;15;187;74;56;57;131;2;173;0;11;109;45;8;
;60 - 64 anos;H;2021;402;18;205;107;37;61;66;0;113;0;12;73;18;10;
;;M;2021;466;18;233;118;34;81;81;0;134;0;14;85;19;16;
;65 - 69 anos;H;2021;364;22;189;125;26;38;58;0;95;0;9;64;15;7;
;;M;2021;438;22;236;150;25;61;69;0;111;0;18;73;16;4;
;70 - 74 anos;H;2021;304;25;172;104;26;42;28;0;79;0;10;52;9;8;
;;M;2021;471;47;271;174;21;76;62;0;91;0;18;59;10;4;
;75 ou mais anos;H;2021;693;52;453;313;41;99;74;0;114;0;13;82;11;8;
;;M;2021;1325;216;899;678;67;154;91;0;119;0;33;74;7;5;
110611: Carnide;Total;H;2021;8350;1032;3083;1196;700;1187;1511;62;2662;17;158;1668;675;144;
;;M;2021;9678;1214;3499;1578;686;1235;1490;30;3445;6;212;2274;819;134;
;Menos de 15 anos;H;2021;1267;800;467;198;243;26;0;0;0;0;0;0;0;0;
;;M;2021;1195;754;441;190;224;27;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;484;9;318;9;43;266;156;0;1;1;0;0;0;0;
;;M;2021;468;4;298;4;47;247;166;0;0;0;0;0;0;0;
;20 - 24 anos;H;2021;532;9;111;1;16;94;259;4;149;8;0;113;28;0;
;;M;2021;524;5;104;2;17;85;240;1;174;2;0;142;29;1;
;25 - 29 anos;H;2021;494;13;121;6;18;97;140;7;213;3;0;87;121;2;
;;M;2021;535;5;100;6;20;74;131;4;295;3;0;143;149;0;
;30 - 34 anos;H;2021;479;12;112;8;23;81;105;7;243;2;1;103;135;2;
;;M;2021;492;11;106;9;20;77;89;5;281;1;2;107;164;7;
;35 - 39 anos;H;2021;483;6;125;15;48;62;89;14;249;3;11;136;89;10;
;;M;2021;532;12;104;15;26;63;81;4;331;0;4;201;115;11;
;40 - 44 anos;H;2021;571;11;130;21;37;72;122;6;302;0;14;210;65;13;
;;M;2021;621;18;111;15;31;65;83;5;404;0;17;288;81;18;
;45 - 49 anos;H;2021;654;20;158;41;44;73;155;15;306;0;22;218;53;13;
;;M;2021;744;17;155;39;36;80;103;3;466;0;21;339;85;21;
;50 - 54 anos;H;2021;585;17;175;64;45;66;98;6;289;0;15;195;61;18;
;;M;2021;673;18;197;72;62;63;103;7;348;0;23;254;58;13;
;55 - 59 anos;H;2021;543;19;224;101;49;74;113;3;184;0;18;113;31;22;
;;M;2021;673;34;259;125;66;68;119;1;260;0;18;184;40;18;
;60 - 64 anos;H;2021;526;20;223;124;49;50;81;0;202;0;21;124;44;13;
;;M;2021;684;34;230;121;46;63;116;0;304;0;26;209;53;16;
;65 - 69 anos;H;2021;522;31;246;164;33;49;68;0;177;0;19;118;23;17;
;;M;2021;695;39;313;205;29;79;99;0;244;0;34;173;23;14;
;70 - 74 anos;H;2021;480;22;230;146;23;61;50;0;178;0;24;123;17;14;
;;M;2021;583;32;332;206;20;106;57;0;162;0;27;115;12;8;
;75 ou mais anos;H;2021;730;43;443;298;29;116;75;0;169;0;13;128;8;20;
;;M;2021;1259;231;749;569;42;138;103;0;176;0;40;119;10;7;
110660: Estrela;Total;H;2021;9379;1162;2421;828;596;997;1764;94;3938;15;221;2245;1219;238;
;;M;2021;10888;1316;3005;1351;583;1071;1827;61;4679;4;397;2710;1358;210;
;Menos de 15 anos;H;2021;1518;971;547;228;285;34;0;0;0;0;0;0;0;0;
;;M;2021;1495;943;552;217;294;41;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;520;3;350;4;41;305;167;0;0;0;0;0;0;0;
;;M;2021;527;6;297;2;25;270;222;1;1;1;0;0;0;0;
;20 - 24 anos;H;2021;525;14;47;2;10;35;282;4;178;2;0;143;33;0;
;;M;2021;535;7;41;1;5;35;277;8;202;0;0;158;43;1;
;25 - 29 anos;H;2021;661;16;70;3;13;54;201;10;364;4;0;165;193;2;
;;M;2021;715;18;39;3;3;33;133;4;521;0;0;233;284;4;
;30 - 34 anos;H;2021;725;14;56;3;12;41;148;20;487;6;8;213;240;20;
;;M;2021;757;16;53;4;9;40;114;11;563;2;6;235;303;17;
;35 - 39 anos;H;2021;703;18;98;12;18;68;136;14;437;3;29;207;176;22;
;;M;2021;740;22;58;14;12;32;95;13;552;1;34;296;192;29;
;40 - 44 anos;H;2021;762;15;87;9;23;55;148;20;492;0;35;286;143;28;
;;M;2021;782;11;75;8;21;46;108;9;579;0;24;386;150;19;
;45 - 49 anos;H;2021;705;16;101;12;23;66;119;12;457;0;26;284;125;22;
;;M;2021;824;11;92;15;21;56;139;7;575;0;41;356;147;31;
;50 - 54 anos;H;2021;634;15;89;23;25;41;115;12;403;0;31;231;105;36;
;;M;2021;706;17;95;22;26;47;139;7;448;0;64;269;86;29;
;55 - 59 anos;H;2021;566;13;112;29;42;41;122;2;317;0;20;199;76;22;
;;M;2021;610;12;141;54;30;57;133;1;323;0;45;200;52;26;
;60 - 64 anos;H;2021;492;8;127;45;30;52;110;0;247;0;17;156;54;20;
;;M;2021;574;19;154;76;28;50;125;0;276;0;48;164;46;18;
;65 - 69 anos;H;2021;409;12;159;98;26;35;65;0;173;0;15;110;25;23;
;;M;2021;562;21;220;137;24;59;115;0;206;0;43;122;23;18;
;70 - 74 anos;H;2021;412;15;177;97;22;58;62;0;158;0;16;97;23;22;
;;M;2021;574;26;296;168;23;105;83;0;169;0;29;115;16;9;
;75 ou mais anos;H;2021;747;32;401;263;26;112;89;0;225;0;24;154;26;21;
;;M;2021;1487;187;892;630;62;200;144;0;264;0;63;176;16;9;
110618: Lumiar;Total;H;2021;21521;2559;5249;1765;1321;2163;3629;178;9906;31;474;6024;2774;603;
;;M;2021;24813;2744;6141;2392;1366;2383;3530;106;12292;10;730;7674;3250;628;
;Menos de 15 anos;H;2021;3535;2246;1289;540;688;61;0;0;0;0;0;0;0;0;
;;M;2021;3255;2036;1219;490;647;82;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;1230;3;804;11;81;712;421;1;1;1;0;0;0;0;
;;M;2021;1218;4;769;4;87;678;444;0;1;1;0;0;0;0;
;20 - 24 anos;H;2021;1364;11;141;4;28;109;727;8;477;9;0;369;98;1;
;;M;2021;1342;8;111;9;16;86;603;6;614;3;0;474;137;0;
;25 - 29 anos;H;2021;1424;10;141;10;31;100;281;23;969;6;0;409;548;6;
;;M;2021;1486;15;98;7;21;70;208;15;1150;1;0;451;691;7;
;30 - 34 anos;H;2021;1347;12;132;12;34;86;232;31;940;6;5;363;541;25;
;;M;2021;1390;18;131;12;32;87;152;22;1067;4;2;373;648;40;
;35 - 39 anos;H;2021;1411;17;144;30;37;77;235;25;990;7;26;488;426;43;
;;M;2021;1540;24;116;9;22;85;179;17;1204;1;38;636;462;67;
;40 - 44 anos;H;2021;1608;17;196;28;44;124;259;29;1107;2;46;725;272;62;
;;M;2021;1809;27;158;34;32;92;204;12;1408;0;36;982;310;80;
;45 - 49 anos;H;2021;1640;27;205;52;57;96;240;27;1141;0;61;805;218;57;
;;M;2021;1942;17;223;67;53;103;208;15;1479;0;67;1046;297;69;
;50 - 54 anos;H;2021;1403;19;246;79;73;94;250;28;860;0;61;538;174;87;
;;M;2021;1787;22;273;84;93;96;258;18;1216;0;82;826;213;95;
;55 - 59 anos;H;2021;1378;20;294;129;65;100;257;6;801;0;59;500;161;81;
;;M;2021;1693;44;321;134;69;118;280;1;1047;0;85;734;160;68;
;60 - 64 anos;H;2021;1186;32;239;118;42;79;226;0;689;0;55;423;125;86;
;;M;2021;1657;64;338;175;52;111;275;0;980;0;96;654;147;83;
;65 - 69 anos;H;2021;1141;25;279;178;35;66;173;0;664;0;40;469;97;58;
;;M;2021;1591;76;392;190;57;145;276;0;847;0;79;622;94;52;
;70 - 74 anos;H;2021;1087;33;332;158;30;144;124;0;598;0;41;450;59;48;
;;M;2021;1389;58;523;247;54;222;181;0;627;0;80;455;55;37;
;75 ou mais anos;H;2021;1767;87;807;416;76;315;204;0;669;0;80;485;55;49;
;;M;2021;2714;331;1469;930;131;408;262;0;652;0;165;421;36;30;
110621: Marvila;Total;H;2021;16598;2171;9296;3967;2208;3121;3202;189;1740;40;108;1112;414;66;
;;M;2021;18881;2974;9876;4906;1959;3011;3359;119;2553;15;158;1744;568;68;
;Menos de 15 anos;H;2021;2423;1463;960;428;470;62;0;0;0;0;0;0;0;0;
;;M;2021;2275;1396;879;347;454;78;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;923;11;676;15;135;526;231;1;4;4;0;0;0;0;
;;M;2021;884;6;588;8;91;489;288;0;2;2;0;0;0;0;
;20 - 24 anos;H;2021;972;15;326;13;90;223;500;17;114;13;0;85;16;0;
;;M;2021;972;15;270;13;63;194;492;16;179;4;0;151;24;0;
;25 - 29 anos;H;2021;1057;23;344;22;87;235;418;29;243;16;0;146;80;1;
;;M;2021;1013;26;269;22;71;176;359;20;339;6;0;218;115;0;
;30 - 34 anos;H;2021;1005;24;371;47;91;233;323;37;250;1;6;140;99;4;
;;M;2021;1045;41;288;29;63;196;315;26;375;1;2;208;160;4;
;35 - 39 anos;H;2021;1093;32;432;51;120;261;344;37;248;4;9;145;83;7;
;;M;2021;1129;37;385;50;75;260;345;17;345;2;17;225;95;6;
;40 - 44 anos;H;2021;1147;33;536;77;144;315;312;31;235;2;21;158;45;9;
;;M;2021;1192;40;435;58;112;265;339;16;362;0;22;278;51;11;
;45 - 49 anos;H;2021;1141;36;622;119;219;284;280;22;181;0;15;125;27;14;
;;M;2021;1174;51;529;119;156;254;292;17;285;0;20;208;41;16;
;50 - 54 anos;H;2021;1087;50;696;215;237;244;195;13;133;0;11;92;25;5;
;;M;2021;1306;89;703;257;216;230;299;5;210;0;21;141;39;9;
;55 - 59 anos;H;2021;1163;69;782;314;251;217;218;2;92;0;8;59;18;7;
;;M;2021;1360;90;873;419;220;234;235;2;160;0;13;122;18;7;
;60 - 64 anos;H;2021;1101;71;804;485;143;176;159;0;67;0;8;44;10;5;
;;M;2021;1476;116;1057;644;167;246;199;0;104;0;19;66;13;6;
;65 - 69 anos;H;2021;1126;86;866;656;87;123;112;0;62;0;7;41;7;7;
;;M;2021;1407;159;1076;809;108;159;93;0;79;0;16;52;7;4;
;70 - 74 anos;H;2021;940;76;763;601;64;98;49;0;52;0;9;39;1;3;
;;M;2021;1130;133;893;746;54;93;55;0;49;0;7;37;2;3;
;75 ou mais anos;H;2021;1420;182;1118;924;70;124;61;0;59;0;14;38;3;4;
;;M;2021;2518;775;1631;1385;109;137;48;0;64;0;21;38;3;2;
110661: Misericórdia;Total;H;2021;4809;508;1565;529;371;665;1038;62;1636;14;112;913;478;119;
;;M;2021;4849;561;1684;824;309;551;917;36;1651;6;134;911;510;90;
;Menos de 15 anos;H;2021;516;320;196;69;110;17;0;0;0;0;0;0;0;0;
;;M;2021;437;266;171;59;97;15;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;175;1;107;1;18;88;66;0;1;1;0;0;0;0;
;;M;2021;178;2;100;1;11;88;76;0;0;0;0;0;0;0;
;20 - 24 anos;H;2021;260;7;48;3;9;36;136;2;67;1;0;56;10;0;
;;M;2021;251;6;20;1;6;13;135;5;85;2;0;62;21;0;
;25 - 29 anos;H;2021;405;21;56;1;10;45;123;13;192;2;0;108;80;2;
;;M;2021;310;14;20;2;2;16;85;1;190;0;0;97;91;2;
;30 - 34 anos;H;2021;437;22;63;1;10;52;113;11;228;5;4;123;87;9;
;;M;2021;352;16;34;2;4;28;71;6;225;1;5;104;108;7;
;35 - 39 anos;H;2021;400;6;68;4;9;55;111;10;205;3;13;100;73;16;
;;M;2021;340;10;46;5;14;27;73;6;205;2;12;112;65;14;
;40 - 44 anos;H;2021;410;23;85;9;17;59;106;11;185;2;18;107;51;7;
;;M;2021;347;20;48;2;9;37;80;4;195;1;15;107;62;10;
;45 - 49 anos;H;2021;409;19;78;11;21;46;95;10;207;0;17;116;59;15;
;;M;2021;330;13;65;15;16;34;69;10;173;0;14;99;46;14;
;50 - 54 anos;H;2021;341;11;106;24;36;46;70;5;149;0;15;76;41;17;
;;M;2021;316;14;74;19;19;36;62;4;162;0;18;97;38;9;
;55 - 59 anos;H;2021;294;15;103;33;36;34;71;0;105;0;10;55;24;16;
;;M;2021;317;13;98;29;37;32;62;0;144;0;13;88;26;17;
;60 - 64 anos;H;2021;288;12;124;50;26;48;62;0;90;0;9;47;22;12;
;;M;2021;312;16;124;64;16;44;63;0;109;0;17;57;28;7;
;65 - 69 anos;H;2021;250;9;126;61;22;43;31;0;84;0;14;40;17;13;
;;M;2021;285;21;135;79;12;44;65;0;64;0;11;37;11;5;
;70 - 74 anos;H;2021;209;17;109;63;14;32;20;0;63;0;6;40;8;9;
;;M;2021;293;21;202;137;22;43;30;0;40;0;10;22;6;2;
;75 ou mais anos;H;2021;415;25;296;199;33;64;34;0;60;0;6;45;6;3;
;;M;2021;781;129;547;409;44;94;46;0;59;0;19;29;8;3;
110633: Olivais;Total;H;2021;14917;1700;6225;2299;1448;2478;3200;160;3632;28;247;2316;864;177;
;;M;2021;17262;2183;6965;3354;1240;2371;3213;103;4798;16;371;3148;1115;148;
;Menos de 15 anos;H;2021;2023;1258;765;309;397;59;0;0;0;0;0;0;0;0;
;;M;2021;1842;1143;699;312;338;49;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;771;8;536;11;92;433;226;1;0;0;0;0;0;0;
;;M;2021;788;7;511;16;73;422;269;1;0;0;0;0;0;0;
;20 - 24 anos;H;2021;878;13;197;7;47;143;445;18;205;6;0;159;40;0;
;;M;2021;829;9;114;16;16;82;424;9;273;8;0;210;55;0;
;25 - 29 anos;H;2021;947;23;179;17;41;121;317;18;410;10;0;234;161;5;
;;M;2021;922;21;124;11;31;82;234;16;527;6;0;289;229;3;
;30 - 34 anos;H;2021;896;20;202;15;30;157;253;26;395;6;9;207;160;13;
;;M;2021;893;34;147;14;35;98;207;13;492;0;5;238;240;9;
;35 - 39 anos;H;2021;952;18;234;26;46;162;261;30;409;6;22;243;122;16;
;;M;2021;930;19;151;17;42;92;245;13;502;2;17;306;166;11;
;40 - 44 anos;H;2021;942;17;248;26;68;154;257;25;395;0;24;270;87;14;
;;M;2021;1079;28;219;32;47;140;250;19;563;0;26;390;119;28;
;45 - 49 anos;H;2021;972;28;295;49;98;148;260;24;365;0;26;257;66;16;
;;M;2021;1079;35;239;43;67;129;277;15;513;0;29;367;94;23;
;50 - 54 anos;H;2021;1049;34;428;109;129;190;264;13;310;0;26;206;59;19;
;;M;2021;1230;43;384;91;118;175;310;15;478;0;42;355;66;15;
;55 - 59 anos;H;2021;1145;44;491;168;130;193;312;5;293;0;37;168;70;18;
;;M;2021;1290;35;518;197;120;201;299;2;436;0;42;308;64;22;
;60 - 64 anos;H;2021;1043;51;512;208;133;171;232;0;248;0;28;163;36;21;
;;M;2021;1125;49;513;246;100;167;265;0;298;0;32;217;38;11;
;65 - 69 anos;H;2021;770;44;453;265;80;108;124;0;149;0;15;96;25;13;
;;M;2021;847;53;497;324;37;136;137;0;160;0;31;104;17;8;
;70 - 74 anos;H;2021;650;38;415;249;49;117;80;0;117;0;12;79;14;12;
;;M;2021;973;71;658;429;69;160;98;0;146;0;27;100;12;7;
;75 ou mais anos;H;2021;1879;104;1270;840;108;322;169;0;336;0;48;234;24;30;
;;M;2021;3435;636;2191;1606;147;438;198;0;410;0;120;264;15;11;
110662: Parque das Nações;Total;H;2021;10823;1420;3189;1022;888;1279;1786;82;4346;9;260;2656;1161;260;
;;M;2021;11559;1526;3230;1240;778;1212;1726;58;5019;3;295;3186;1305;230;
;Menos de 15 anos;H;2021;2057;1198;859;349;453;57;0;0;0;0;0;0;0;0;
;;M;2021;1904;1134;770;297;425;48;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;811;7;542;3;62;477;261;0;1;1;0;0;0;0;
;;M;2021;686;3;455;4;43;408;227;1;0;0;0;0;0;0;
;20 - 24 anos;H;2021;604;11;96;1;18;77;331;9;157;2;0;123;32;0;
;;M;2021;600;6;62;6;11;45;290;2;240;0;0;190;50;0;
;25 - 29 anos;H;2021;502;8;89;5;19;65;141;6;258;2;0;126;128;2;
;;M;2021;541;17;73;8;7;58;86;12;353;1;0;162;185;5;
;30 - 34 anos;H;2021;503;11;83;6;23;54;106;14;289;2;6;135;138;8;
;;M;2021;618;16;84;12;19;53;94;15;409;1;6;194;198;10;
;35 - 39 anos;H;2021;654;12;105;17;22;66;112;15;410;2;26;216;146;20;
;;M;2021;739;13;74;9;16;49;131;8;513;1;23;296;172;21;
;40 - 44 anos;H;2021;933;19;135;20;43;72;147;11;621;0;37;384;170;30;
;;M;2021;1121;19;118;20;27;71;149;8;827;0;30;551;199;47;
;45 - 49 anos;H;2021;1099;18;130;27;42;61;152;13;786;0;38;521;184;43;
;;M;2021;1139;19;124;33;37;54;138;5;853;0;38;580;188;47;
;50 - 54 anos;H;2021;874;21;140;38;47;55;119;11;583;0;31;373;132;47;
;;M;2021;936;22;159;44;47;68;150;6;599;0;35;400;130;34;
;55 - 59 anos;H;2021;719;24;161;59;47;55;137;3;394;0;36;223;99;36;
;;M;2021;767;25;188;82;36;70;125;1;428;0;35;286;76;31;
;60 - 64 anos;H;2021;575;21;178;100;32;46;105;0;271;0;24;148;66;33;
;;M;2021;601;27;193;100;32;61;123;0;258;0;31;155;53;19;
;65 - 69 anos;H;2021;511;14;189;120;26;43;73;0;235;0;20;159;34;22;
;;M;2021;573;33;220;142;27;51;95;0;225;0;29;163;25;8;
;70 - 74 anos;H;2021;428;20;187;102;23;62;44;0;177;0;22;129;18;8;
;;M;2021;503;41;244;151;22;71;64;0;154;0;23;108;19;4;
;75 ou mais anos;H;2021;553;36;295;175;31;89;58;0;164;0;20;119;14;11;
;;M;2021;831;151;466;332;29;105;54;0;160;0;45;101;10;4;
110663: Penha de França;Total;H;2021;13280;1514;4796;1643;1050;2103;3115;195;3660;34;259;2187;1006;174;
;;M;2021;15195;1807;5530;2654;955;1921;2953;115;4790;19;304;2941;1341;185;
;Menos de 15 anos;H;2021;1566;1021;545;225;282;38;0;0;0;0;0;0;0;0;
;;M;2021;1510;1012;498;227;235;36;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;547;16;365;4;72;289;164;2;0;0;0;0;0;0;
;;M;2021;533;2;318;4;52;262;212;0;1;1;0;0;0;0;
;20 - 24 anos;H;2021;767;24;157;5;25;127;391;16;179;8;0;136;35;0;
;;M;2021;746;18;99;2;18;79;349;11;269;4;0;224;41;0;
;25 - 29 anos;H;2021;1196;53;190;21;24;145;371;39;543;9;0;298;230;6;
;;M;2021;1164;48;111;4;21;86;271;18;716;5;0;371;339;1;
;30 - 34 anos;H;2021;1327;66;222;21;37;164;362;34;643;8;17;334;264;20;
;;M;2021;1216;42;128;9;26;93;256;18;772;6;7;386;350;23;
;35 - 39 anos;H;2021;1211;63;252;28;47;177;318;33;545;7;42;285;184;27;
;;M;2021;1148;42;166;16;28;122;249;17;674;3;33;371;233;34;
;40 - 44 anos;H;2021;1098;41;241;27;56;158;324;29;463;2;41;278;112;30;
;;M;2021;1105;43;168;21;33;114;271;12;611;0;26;414;126;45;
;45 - 49 anos;H;2021;1023;33;285;39;69;177;275;28;402;0;31;286;61;24;
;;M;2021;1040;43;242;45;58;139;267;22;466;0;41;318;81;26;
;50 - 54 anos;H;2021;802;32;290;67;86;137;227;12;241;0;37;141;43;20;
;;M;2021;859;29;239;62;68;109;242;15;334;0;34;233;52;15;
;55 - 59 anos;H;2021;666;21;312;92;79;141;166;2;165;0;19;101;29;16;
;;M;2021;856;32;311;127;64;120;227;2;284;0;31;193;49;11;
;60 - 64 anos;H;2021;666;34;318;137;80;101;175;0;139;0;20;90;17;12;
;;M;2021;845;35;376;160;80;136;218;0;216;0;32;146;30;8;
;65 - 69 anos;H;2021;592;26;328;186;45;97;124;0;114;0;9;82;15;8;
;;M;2021;828;48;492;280;69;143;136;0;152;0;23;95;25;9;
;70 - 74 anos;H;2021;608;24;404;213;60;131;86;0;94;0;13;66;7;8;
;;M;2021;892;51;610;375;68;167;97;0;134;0;27;94;7;6;
;75 ou mais anos;H;2021;1211;60;887;578;88;221;132;0;132;0;30;90;9;3;
;;M;2021;2453;362;1772;1322;135;315;158;0;161;0;50;96;8;7;
