
Quadro extraído em 26 de Fevereiro de 2025 (23:50:58)
http://www.ine.pt



Local de residência à data dos Censos [2021] (NUTS - 2024);Grupo etário;Sexo;Período de referência dos dados;População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2024), Sexo, Grupo etário e Nível de escolaridade mais elevado completo -  Decenal;;;;;;;;;;;;;;
;;;;Nível de escolaridade mais elevado completo;;;;;;;;;;;;;;
;;;;Total;Nenhum;Ensino básico;1.º ciclo;2.º ciclo;3.º ciclo;Ensino secundário;Ensino pós-secundário;Ensino superior;Curso técnico superior profissional;Bacharelato;Licenciatura;Mestrado;Doutoramento;
;;;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
;;M;2021;686;37;380;180;77;123;167;0;102;0;13;71;16;2;
;65 - 69 anos;H;2021;503;24;339;201;59;79;77;0;63;0;6;46;9;2;
;;M;2021;689;45;458;291;60;107;104;0;82;0;23;52;7;0;
;70 - 74 anos;H;2021;570;26;455;308;49;98;41;0;48;0;10;34;3;1;
;;M;2021;832;39;682;477;71;134;56;0;55;0;17;31;4;3;
;75 ou mais anos;H;2021;1097;70;918;691;81;146;62;0;47;0;7;35;4;1;
;;M;2021;1831;329;1386;1203;73;110;59;0;57;0;19;35;3;0;
111516: Mina de Água;Total;H;2021;20192;2709;9263;3237;2241;3785;5020;339;2861;57;203;1939;605;57;
;;M;2021;22769;3143;9677;4105;1980;3592;5311;222;4416;23;242;3222;873;56;
;Menos de 15 anos;H;2021;3431;2204;1227;520;612;95;0;0;0;0;0;0;0;0;
;;M;2021;3315;2134;1181;493;595;93;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;1088;4;750;7;125;618;330;3;1;1;0;0;0;0;
;;M;2021;1086;11;715;7;97;611;359;0;1;1;0;0;0;0;
;20 - 24 anos;H;2021;1168;16;266;8;44;214;685;32;169;12;0;136;19;2;
;;M;2021;1155;23;178;4;21;153;638;18;298;7;0;254;37;0;
;25 - 29 anos;H;2021;1269;30;268;17;43;208;552;42;377;17;0;229;130;1;
;;M;2021;1306;27;210;11;50;149;490;32;547;6;0;341;198;2;
;30 - 34 anos;H;2021;1414;34;335;22;78;235;530;68;447;12;2;255;172;6;
;;M;2021;1480;32;309;19;66;224;504;34;601;5;2;366;221;7;
;35 - 39 anos;H;2021;1534;28;450;31;88;331;561;71;424;12;31;277;95;9;
;;M;2021;1715;40;368;17;86;265;535;48;724;3;22;523;167;9;
;40 - 44 anos;H;2021;1601;26;528;53;144;331;554;60;433;3;23;319;82;6;
;;M;2021;1881;39;417;55;89;273;622;43;760;1;34;607;107;11;
;45 - 49 anos;H;2021;1550;36;629;92;194;343;504;40;341;0;39;259;40;3;
;;M;2021;1666;38;502;90;123;289;577;24;525;0;44;410;65;6;
;50 - 54 anos;H;2021;1252;32;649;129;250;270;369;20;182;0;19;132;21;10;
;;M;2021;1543;61;680;178;177;325;466;20;316;0;32;245;30;9;
;55 - 59 anos;H;2021;1142;32;670;227;194;249;301;3;136;0;16;100;15;5;
;;M;2021;1496;68;785;296;196;293;412;3;228;0;22;181;18;7;
;60 - 64 anos;H;2021;1226;49;768;300;187;281;285;0;124;0;19;87;13;5;
;;M;2021;1448;79;879;416;176;287;332;0;158;0;24;115;16;3;
;65 - 69 anos;H;2021;1093;56;776;465;110;201;155;0;106;0;12;76;11;7;
;;M;2021;1328;94;925;573;119;233;203;0;106;0;12;83;9;2;
;70 - 74 anos;H;2021;914;46;755;520;70;165;70;0;43;0;13;27;2;1;
;;M;2021;1173;81;940;664;78;198;79;0;73;0;21;49;3;0;
;75 ou mais anos;H;2021;1510;116;1192;846;102;244;124;0;78;0;29;42;5;2;
;;M;2021;2177;416;1588;1282;107;199;94;0;79;0;29;48;2;0;
111517: Venteira;Total;H;2021;11917;1403;4970;1691;1095;2184;3117;185;2242;37;175;1480;496;54;
;;M;2021;14251;1664;6050;2768;1086;2196;3223;116;3198;21;235;2214;676;52;
;Menos de 15 anos;H;2021;1685;1105;580;269;289;22;0;0;0;0;0;0;0;0;
;;M;2021;1642;1056;586;281;261;44;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;556;6;381;2;65;314;166;2;1;1;0;0;0;0;
;;M;2021;531;4;343;2;43;298;182;0;2;2;0;0;0;0;
;20 - 24 anos;H;2021;653;11;126;2;20;104;382;22;112;9;0;89;13;1;
;;M;2021;652;13;92;1;10;81;362;8;177;4;0;145;27;1;
;25 - 29 anos;H;2021;846;27;132;7;24;101;375;23;289;12;0;166;111;0;
;;M;2021;932;21;117;5;17;95;323;18;453;8;0;270;172;3;
;30 - 34 anos;H;2021;972;28;187;16;39;132;372;35;350;7;7;206;128;2;
;;M;2021;980;28;163;14;35;114;294;16;479;3;4;293;173;6;
;35 - 39 anos;H;2021;849;26;185;9;34;142;305;35;298;8;16;188;78;8;
;;M;2021;974;30;170;17;23;130;312;23;439;3;19;285;122;10;
;40 - 44 anos;H;2021;893;28;264;32;52;180;281;27;293;0;20;206;60;7;
;;M;2021;955;29;204;28;48;128;310;20;392;1;22;303;63;3;
